"assignment","k5","k6","time"
3,0.0308504540458892,2.94595936512903,2
3,0.0318359239680796,3.00133550246651,3
3,0.0266137094742533,2.82737920261026,4
4,0.0396951731167314,3.04541086843642,0
4,0.0404800616723293,3.3893236488587,1
4,0.0400308148394006,3.41070952162656,2
4,0.0411403253203909,3.22017301078328,3
4,0.0364400196856201,2.30828321547602,4
1,0.0380143288051064,3.05457231227792,0
1,0.0410558442210282,2.97601322062783,1
1,0.0389678176690243,3.01983852254905,2
1,0.0407021099211431,3.10599633839384,3
1,0.0367162608257569,2.80363448783292,4
2,0.0422886437459011,3.12559546165339,0
2,0.0366964623182523,3.59582140885333,1
2,0.0334674798682256,3.22068926418412,2
2,0.0297764433546221,3.03180148841252,3
2,0.0243689869290099,2.12458106389397,4
3,0.041395143926526,2.95818330612533,0
3,0.0368296060254212,2.95311780256332,1
3,0.0302515404654376,3.14520126125283,2
3,0.0291854400180388,3.20691146869877,3
3,0.0241042462921269,3.13500032949938,4
4,0.0431606704864305,2.96622214619532,0
4,0.0378832782195917,3.48127781194343,1
4,0.0396575340160234,3.55820166054112,2
4,0.0427396879637109,3.05086273289936,3
4,0.0405968074492879,2.13267791221254,4
1,0.0400327211336401,3.03768691962075,0
1,0.0421251435136592,3.01455820529889,1
1,0.0411405477120498,3.09346320357402,2
1,0.041463637233369,2.93107265373787,3
1,0.0426030099427115,2.95428519128472,4
2,0.0398307453317604,3.1684860321257,0
2,0.0380705342498329,3.37920097531065,1
2,0.0306030863993321,3.37703051287553,2
2,0.0282909555081917,3.10978090415022,3
2,0.0245825834997681,2.22625892570623,4
3,0.039036971446424,2.88075616906815,0
3,0.0376428560897199,3.09012735631276,1
3,0.0295853335402741,2.98858230589809,2
3,0.0265664834835896,2.75150987153496,3
3,0.024240192209901,2.99049459488897,4
4,0.0398442091719791,3.02593830501615,0
4,0.0414119442630345,3.53467170053801,1
4,0.0390137026514024,3.45182408976945,2
4,0.0397891155311341,3.12720203838947,3
4,0.0383365114356767,2.13788293573891,4
1,0.0415476276162687,2.98700638905186,0
1,0.038882526931849,2.96688657978894,1
1,0.0417834376725792,3.0660052753457,2
1,0.0419786812801306,3.01669174285941,3
1,0.0406564401543847,2.93298517051822,4
2,0.0409685930702885,2.93923997493729,0
2,0.0337270951924868,3.52535915588209,1
2,0.0351133619483703,3.63610972074877,2
2,0.029864405423914,3.13306268677118,3
